smiles,scaffolds,label
C=CCc1cc(/C=c2\sc3n(c2=O)[C@@H](c2ccc(OCC(=O)OC)c(OCC)c2)C(C(=O)OCC)=C(C)N=3)cc(OC)c1OCc1ccccc1Cl,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4ccc(Cl)c(Cl)c4)cc3)c(=O)n2[C@H]1c1ccc(C(C)C)cc1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(Br)c(OCc4cccc(C)c4)c(OCC)c3)c(=O)n2[C@H]1c1ccc(OCC(=O)OC)c(OCC)c1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
C=CCOc1ccc([C@H]2C(C(=O)OCC)=C(C)N=c3s/c(=C\c4ccc(OCc5ccc(Br)cc5)c(Br)c4)c(=O)n32)cc1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
COC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4ccccc4F)cc3)c(=O)n2[C@H]1c1cc(Cl)ccc1OC,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(I)c(OCc4ccccc4F)c(OCC)c3)c(=O)n2[C@@H]1c1ccc(OC(C)C)c(OC)c1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
COc1ccc(Br)cc1[C@@H]1C(C(=O)OC(C)C)=C(C)N=c2s/c(=C\c3ccc(OCc4cccc(C(=O)O)c4)cc3)c(=O)n21,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4ccc(Cl)cc4)c(OC)c3)c(=O)n2[C@H]1c1ccc(OC)cc1OC,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCc4ccc(Cl)cc4)c(OC)c3)c(=O)n2[C@@H]1c1cc(OC)c(OCC)cc1Br,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCN(CC)C(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCc4cccc(Cl)c4)cc3)c(=O)n2[C@@H]1c1cc(OC)ccc1OC,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(OC)c(OCc4ccc(C(=O)O)cc4)cc3Br)c(=O)n2[C@@H]1c1ccc(OC(C)C)c(OC)c1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
C=CCc1cc(/C=c2\sc3n(c2=O)[C@H](c2ccc(OCC)c(OCC)c2)C(C(=O)OC)=CN=3)cc(OCC)c1OCc1ccccc1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCC1=C(C(=O)OC)[C@H](c2ccccc2)n2c(=O)/c(=C/c3cc(Br)c(OCc4cccc([N+](=O)[O-])c4)c(OC)c3)sc2=N1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCc4ccccc4Cl)c(OCC)c3)c(=O)n2[C@H]1c1ccc(OC)cc1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(Cl)c(OCc4ccccc4F)c(Br)c3)c(=O)n2[C@@H]1c1ccccc1OC(C)C,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4ccccc4C#N)cc3)c(=O)n2[C@H]1c1ccccc1OCC,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCc4c(C)cc(C)cc4C)c(OC)c3)c(=O)n2[C@H]1c1cc(OC)c(OCC)cc1Br,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCC1=C(C(=O)OC)[C@@H](c2ccccc2)n2c(=O)/c(=C/c3cc(Cl)c(OCc4ccccc4)c(OC)c3)sc2=N1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4ccccc4)c(Br)c3)c(=O)n2[C@H]1c1ccc(OC(C)C)c(OC)c1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOc1ccc([C@@H]2C(C(=O)OC)=CN=c3s/c(=C\c4cc(Cl)c(OCc5cccc(C)c5)c(Br)c4)c(=O)n32)cc1OCC,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4cccc(C(=O)O)c4)c(OC)c3)c(=O)n2[C@@H]1c1ccc(SC)cc1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCC1=C(C(=O)OC)[C@@H](c2ccccc2)n2c(=O)/c(=C/c3cc(I)c(OCc4cccc([N+](=O)[O-])c4)c(OC)c3)sc2=N1,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
COC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCc4ccc(Cl)cc4)cc3)c(=O)n2[C@H]1c1cc(Cl)ccc1OC,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCc4ccc(C(=O)O)cc4)cc3)c(=O)n2[C@@H]1c1cc(OC)c(OC)cc1Br,O=c1c(=Cc2ccc(OCc3ccccc3)cc2)sc2n1C(c1ccccc1)C=CN=2,0
